ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
16,Gujarat,Ahmedabad,Satellite,Penthouse,4,1800,115.17,6398.18,2010,Fully Furnished,24,29,14,9,7,4,0,None,"Swimming Pool, Library",South-East,Individual,Available
17,Gujarat,Ahmedabad,Bopal,Apartment,3,1317,82.71,6280.1,2000,Semi Furnished,29,46,24,6,3,7,2,Security Guard,"Clubhouse, Library, Garden, Playground, Swimming Pool, Gym",North,Builder,Available
18,Madhya Pradesh,Bhopal,MP Nagar,House,2,709,22.67,3197.19,2019,Semi Furnished,22,34,5,8,4,8,3,Gated Community,Library,,Agent,Sold
19,Tamil Nadu,Chennai,Velachery,Studio,3,1163,74.43,6399.66,2008,Unfurnished,15,16,16,2,2,9,0,Security Guard,"Gym, Playground, Swimming Pool, Garden",South-West,Agent,Available
20,Kerala,Kochi,Edapally,House,2,882,36.47,4135.4,2019,Semi Furnished,22,41,5,5,4,7,3,Gated Community,None,North-East,Agent,Available
21,Punjab,Chandigarh,Panchkula,Apartment,2,878,50.51,5753.11,1993,Fully Furnished,6,9,31,6,6,9,1,Gated Community,"Gym, Clubhouse",South-West,Agent,Under Construction
22,Punjab,Chandigarh,Sector 22,Apartment,4,1562,96.59,6183.63,2010,Fully Furnished,13,30,14,1,5,4,3,CCTV,"Garden, Clubhouse, Swimming Pool",South-West,Individual,Available
23,Gujarat,Ahmedabad,Motera,Apartment,2,869,53.17,6119.08,1994,Fully Furnished,9,28,30,3,6,1,1,Gated Community,"Garden, Gym, Swimming Pool, Clubhouse",North,Builder,Available
24,Maharashtra,Nagpur,Hingna,House,1,345,11.41,3307.47,2016,Fully Furnished,2,3,8,0,4,7,0,Gated Community,"Playground, Gym, Garden, Clubhouse",North,Individual,Available
25,Karnataka,Mysore,Vijayanagar,House,2,783,26.79,3421.99,1996,Fully Furnished,10,27,28,3,4,2,0,Security Guard,"Gym, Garden",West,Individual,Available
26,Haryana,Gurgaon,DLF Phase,Villa,2,769,51.13,6649.1,2020,Fully Furnished,6,9,4,1,3,9,2,Gated Community,"Library, Clubhouse",North,Individual,Under Construction
27,Telangana,Hyderabad,Madhapur,Apartment,4,1764,150.73,8544.95,2009,Unfurnished,21,28,15,6,1,6,1,CCTV,"Clubhouse, Library, Garden, Swimming Pool, Playground",East,Agent,Available
28,Haryana,Gurgaon,DLF Phase,Apartment,3,985,97.94,9942.7,2014,Unfurnished,9,11,10,0,4,9,2,Gated Community,"Garden, Playground, Swimming Pool",North,Individual,Available
29,Madhya Pradesh,Indore,Vijay Nagar,House,3,1297,47.26,3643.6,2014,Semi Furnished,27,39,10,5,6,8,1,CCTV,None,South-West,Builder,Under Construction
30,Karnataka,Bangalore,Koramangala,House,3,1253,104.82,8365.33,2006,Unfurnished,7,8,18,2,0,9,0,None,"Clubhouse, Garden, Library, Playground",South-West,Individual,Under Construction
31,Uttar Pradesh,Lucknow,Indiranagar,Studio,3,859,24.83,2890.72,2004,Semi Furnished,13,21,20,7,4,7,0,Security Guard,Library,South-East,Builder,Available
32,Madhya Pradesh,Indore,Vijay Nagar,House,3,1330,39.15,2943.33,1999,Semi Furnished,20,28,25,,4,3,0,CCTV,"Playground, Library, Garden, Gym",East,Individual,Available
33,Telangana,Hyderabad,Jubilee Hills,House,3,1349,113.57,8419.03,2023,Unfurnished,6,6,1,6,3,5,0,Gated Community,"Garden, Clubhouse, Library, Swimming Pool",East,Builder,Under Construction
34,Maharashtra,Pune,Viman Nagar,House,4,1539,118.03,7669.01,1996,Semi Furnished,15,23,28,6,3,3,0,None,"Gym, Clubhouse, Library",South-West,Agent,Under Construction
35,Punjab,Chandigarh,Sector 17,Villa,5,2072,140.08,6760.57,2014,,28,43,10,0,6,3,2,CCTV,Playground,North,Individual,Under Construction
36,Haryana,Gurgaon,DLF Phase,Apartment,5,2040,222.49,10906.51,2017,Semi Furnished,18,28,7,8,3,7,1,Gated Community,"Gym, Clubhouse, Garden, Swimming Pool",West,Individual,Available
37,Gujarat,Ahmedabad,Bopal,Studio,3,1534,65.46,4267.52,2016,Semi Furnished,16,33,8,2,6,6,2,Gated Community,"Library, Garden, Playground, Swimming Pool",West,Builder,Available
38,Uttar Pradesh,Noida,Greater Noida West,Villa,4,1675,93.07,5556.51,2017,Semi Furnished,13,19,7,7,7,5,1,Security Guard,Garden,West,Individual,Available
39,Punjab,Chandigarh,Sector 17,Apartment,2,815,34.5,4232.58,2023,Unfurnished,22,35,1,1,7,5,3,Gated Community,Library,West,Individual,Available
40,Maharashtra,Nagpur,Dharampeth,Apartment,4,1764,92.1,5220.83,2018,Unfurnished,18,18,6,0,5,8,2,Gated Community,"Swimming Pool, Playground, Garden",North-East,Builder,Available
41,Uttar Pradesh,Lucknow,Mahanagar,Apartment,4,1841,79.76,4332.34,1997,Unfurnished,6,19,27,0,6,1,0,CCTV,None,South-West,Agent,Sold
42,Madhya Pradesh,Bhopal,Misrod,Apartment,4,1910,62.96,3296.52,2002,Semi Furnished,13,13,22,7,3,4,1,Security Guard,"Clubhouse, Playground, Swimming Pool, Library, Garden, Gym",South-West,Builder,Available
43,Karnataka,Bangalore,HSR Layout,Apartment,4,1510,146.26,9686.11,1992,Unfurnished,27,40,32,8,4,5,1,CCTV,"Garden, Swimming Pool, Playground, Clubhouse, Library",North,Builder,Sold
44,Madhya Pradesh,Indore,Vijay Nagar,Apartment,2,864,26.56,3073.86,2003,Semi Furnished,21,34,21,2,4,9,2,Gated Community,Clubhouse,North,Agent,Under Construction
45,Uttar Pradesh,Noida,Greater Noida West,Apartment,2,706,45.97,6511.74,2021,Unfurnished,26,41,3,6,7,1,2,None,None,North-West,Builder,Under Construction
46,Karnataka,Bangalore,Whitefield,Apartment,2,1148,73.1,6368.01,2012,Semi Furnished,11,18,12,1,2,9,3,CCTV,"Gym, Library",South-West,Agent,Available
47,Maharashtra,Pune,Wakad,House,3,1207,86.28,7148.34,2012,Fully Furnished,11,12,12,7,3,6,0,None,"Garden, Gym",West,Individual,Available
48,Delhi,Delhi,Saket,Apartment,2,943,70.37,7462.2,2002,Semi Furnished,24,28,22,2,2,3,3,None,"Library, Gym, Playground, Garden",South-West,Individual,Available
49,Tamil Nadu,Chennai,OMR,Villa,3,1175,92.32,7856.93,2010,,25,30,14,9,7,3,1,Security Guard,"Gym, Clubhouse",North-East,Individual,Available
50,Karnataka,Bangalore,Indiranagar,Apartment,3,1274,128.85,10113.56,2020,Semi Furnished,0,1,4,9,1,4,0,CCTV,"Swimming Pool, Playground, Clubhouse",West,Builder,Under Construction
51,Madhya Pradesh,Indore,Rau,Apartment,3,929,40.49,4358.71,1996,Semi Furnished,8,11,28,4,6,5,2,CCTV,"Playground, Clubhouse, Library",North-East,Individual,Available
52,Gujarat,Ahmedabad,Motera,Apartment,4,1756,88.89,5061.96,2008,Fully Furnished,13,19,16,6,3,9,3,CCTV,"Clubhouse, Gym, Library",South-East,Builder,Under Construction
53,Maharashtra,Pune,Wakad,House,3,1395,88.72,6359.7,2011,Unfurnished,17,24,13,8,5,6,3,Gated Community,"Clubhouse, Playground",North-East,Builder,Available
54,Tamil Nadu,Chennai,Adyar,House,3,1111,71.61,6445.66,2013,Semi Furnished,17,21,11,0,5,5,1,Security Guard,None,North,Individual,Under Construction
55,Karnataka,Bangalore,HSR Layout,Apartment,3,928,65.08,7012.58,2013,Fully Furnished,17,22,11,4,6,6,3,CCTV,"Garden, Library, Playground, Clubhouse, Gym, Swimming Pool",South,Builder,Under Construction
56,Uttar Pradesh,Lucknow,Gomti Nagar,Villa,4,1822,84.34,4629.02,2010,Fully Furnished,8,22,14,0,7,6,0,CCTV,"Swimming Pool, Clubhouse, Gym",North,Builder,Available
57,Kerala,Kochi,Edapally,Apartment,2,1003,53.22,5305.95,2002,Unfurnished,10,21,22,1,1,9,2,Security Guard,Garden,South-West,Agent,Available
58,Punjab,Chandigarh,Mohali,Penthouse,2,918,48.59,5292.83,1995,Semi Furnished,10,17,29,9,5,7,2,None,"Gym, Garden, Clubhouse, Library, Playground",South-West,Individual,Available
59,Uttar Pradesh,Noida,Sector 78,Studio,4,1572,102.97,6550.46,2017,Semi Furnished,6,13,7,3,0,7,2,Gated Community,"Library, Clubhouse, Playground",South-East,Individual,Available
60,Uttar Pradesh,Lucknow,Hazratganj,Villa,3,1157,55.42,4789.64,2021,Fully Furnished,0,15,3,9,4,4,3,Gated Community,"Garden, Swimming Pool, Playground, Clubhouse, Gym, Library",North-West,Builder,Available
61,Uttar Pradesh,Noida,Sector 18,Villa,3,1400,81.69,5835.17,2002,Semi Furnished,9,23,22,2,4,5,0,Gated Community,None,North,Agent,Sold
62,Kerala,Kochi,Edapally,House,2,751,54.74,7289.33,2023,Unfurnished,,18,1,9,2,7,1,Security Guard,"Gym, Swimming Pool, Garden, Playground",South-West,Agent,Available
63,Rajasthan,Jaipur,Vaishali Nagar,House,2,823,38.06,4624.54,2021,Fully Furnished,6,8,3,4,4,8,0,Security Guard,"Library, Swimming Pool, Garden, Clubhouse, Gym",East,Individual,Sold
64,Madhya Pradesh,Indore,AB Road,Villa,3,1199,53.35,4449.29,2003,,10,17,21,5,7,6,2,Security Guard,"Library, Playground, Gym, Garden, Swimming Pool",North-East,Individual,Under Construction
65,Punjab,Chandigarh,Sector 17,Studio,2,849,39.27,4625.56,2021,Semi Furnished,25,40,3,0,1,8,2,Gated Community,"Clubhouse, Library, Swimming Pool, Gym, Garden, Playground",South,Agent,Under Construction
66,Rajasthan,Jaipur,Jagatpura,Villa,2,783,24.58,3139.81,1994,Unfurnished,0,17,30,8,4,9,2,CCTV,"Clubhouse, Playground, Library, Gym, Garden, Swimming Pool",North-East,Individual,Available
67,Telangana,Hyderabad,Banjara Hills,Villa,2,801,48.85,6099.2,1993,Fully Furnished,10,23,31,9,7,1,0,CCTV,"Clubhouse, Swimming Pool, Library, Gym",North,Agent,Sold
68,Punjab,Chandigarh,Sector 22,House,3,1468,66.07,4500.39,2003,Fully Furnished,25,42,21,1,3,4,2,None,"Clubhouse, Swimming Pool",North-West,Agent,Available
69,Rajasthan,Jaipur,Jagatpura,Villa,3,1278,37.05,2899.33,2007,Fully Furnished,6,17,17,7,0,9,1,Security Guard,None,South,Builder,Available
70,Maharashtra,Mumbai,Andheri,House,5,2057,341.99,16625.88,2000,Fully Furnished,1,12,24,8,2,5,0,None,"Swimming Pool, Playground, Library, Garden, Clubhouse",West,Agent,Under Construction
71,Haryana,Gurgaon,DLF Phase,Apartment,3,1323,90.24,6820.51,2008,Fully Furnished,7,25,16,0,7,4,1,Security Guard,"Garden, Swimming Pool",West,Builder,Available
72,Telangana,Hyderabad,Kukatpally,Apartment,4,1432,115.16,8041.98,1991,Fully Furnished,28,44,33,1,,9,2,Security Guard,"Clubhouse, Playground, Library, Gym, Garden, Swimming Pool",West,Builder,Under Construction
73,Maharashtra,Mumbai,Juhu,Apartment,3,1352,172.87,12785.88,2023,Unfurnished,25,38,1,2,2,2,0,CCTV,"Playground, Library, Clubhouse, Gym, Garden",South,Builder,Under Construction
74,Gujarat,Ahmedabad,Prahlad Nagar,Apartment,3,1245,42.2,3389.23,1992,Semi Furnished,2,19,32,8,2,2,2,None,"Gym, Library, Swimming Pool, Clubhouse",North-East,Agent,Available
75,Uttar Pradesh,Noida,Sector 62,Apartment,1,307,14.16,4611.14,2018,Fully Furnished,7,18,6,2,3,8,0,Security Guard,"Playground, Gym, Garden",North-West,Individual,Under Construction
76,West Bengal,Kolkata,New Town,Penthouse,2,785,43.41,5530.07,2012,Fully Furnished,2,9,12,5,4,8,2,Security Guard,"Swimming Pool, Garden",North-East,Individual,Under Construction
77,Madhya Pradesh,Bhopal,Arera Colony,Villa,3,1279,40.37,3156.73,1990,Unfurnished,19,33,34,8,3,5,0,Gated Community,Clubhouse,North-West,Individual,Sold
78,Uttar Pradesh,Noida,Sector 137,House,2,812,51.25,6311.4,1995,Semi Furnished,13,15,29,6,1,6,0,None,"Swimming Pool, Library",North-West,Individual,Available
79,Maharashtra,Nagpur,Manish Nagar,Apartment,3,1362,61.7,4530.22,2006,Fully Furnished,18,25,18,9,5,5,0,Gated Community,None,South,Agent,Sold
80,Maharashtra,Nagpur,Dharampeth,House,3,1087,46.71,4297.28,2008,Fully Furnished,26,35,16,5,4,8,2,CCTV,"Garden, Swimming Pool, Playground, Clubhouse, Library, Gym",East,Agent,Available
81,Maharashtra,Mumbai,Powai,Villa,4,1431,217.25,15181.39,1991,Fully Furnished,7,15,33,1,3,6,2,Security Guard,"Clubhouse, Gym, Playground, Library, Swimming Pool",East,Individual,Sold
82,Karnataka,Mysore,Kuvempunagar,Villa,5,1885,103.27,5478.38,2004,Unfurnished,26,34,20,5,,6,2,Gated Community,"Library, Garden",North-East,Builder,Sold
83,Tamil Nadu,Chennai,Porur,Apartment,2,738,24.23,3283.71,2012,Unfurnished,9,21,12,9,1,7,0,Security Guard,"Swimming Pool, Clubhouse, Playground, Library, Gym, Garden",East,Builder,Available
84,Haryana,Gurgaon,Sector 56,Apartment,2,820,72.32,8820.02,2008,Fully Furnished,11,24,16,0,1,2,2,Gated Community,"Gym, Clubhouse, Playground",North-West,Individual,Available
85,Telangana,Hyderabad,Banjara Hills,Villa,3,1150,89.39,7773.0,2022,Fully Furnished,13,14,2,6,3,9,1,Gated Community,"Clubhouse, Swimming Pool, Playground, Garden, Gym",South-West,Individual,Available
86,Haryana,Gurgaon,Sohna Road,Villa,2,621,49.58,7984.46,1995,Unfurnished,19,31,29,,3,3,0,Gated Community,"Swimming Pool, Gym, Clubhouse, Playground",East,Individual,Under Construction
87,Telangana,Hyderabad,Madhapur,Studio,2,597,37.94,6354.5,2008,Fully Furnished,8,8,16,7,0,9,1,Gated Community,None,South-West,Builder,Available
88,Uttar Pradesh,Noida,Sector 137,Studio,3,1008,39.87,3955.85,2019,Semi Furnished,14,24,5,1,3,5,1,CCTV,"Gym, Clubhouse, Library, Playground, Swimming Pool",North,Agent,Under Construction
89,Gujarat,Ahmedabad,Thaltej,Penthouse,5,1956,120.67,6169.26,2011,Unfurnished,16,31,13,0,2,1,3,Gated Community,"Playground, Swimming Pool, Garden, Gym, Library, Clubhouse",South-East,Agent,Under Construction
90,Maharashtra,Pune,Hinjewadi,Villa,3,1078,70.83,6570.87,1992,Semi Furnished,19,35,32,8,4,4,1,CCTV,"Garden, Library, Playground, Gym, Swimming Pool",South-East,Individual,Under Construction
91,Maharashtra,Mumbai,Bandra,Penthouse,3,1142,172.75,15126.9,1994,Semi Furnished,3,12,30,8,6,6,3,Gated Community,"Swimming Pool, Clubhouse, Playground, Garden, Library",North,Individual,Available
92,Kerala,Kochi,Marine Drive,House,2,999,51.59,5163.81,2019,Unfurnished,1,5,5,9,1,3,3,None,"Gym, Clubhouse, Playground, Garden, Library, Swimming Pool",South,Builder,Available
93,Karnataka,Mysore,Kuvempunagar,Apartment,3,1024,48.43,4729.51,1992,Semi Furnished,6,12,32,6,6,6,0,Gated Community,None,East,Builder,Available
94,Maharashtra,Nagpur,Sadar,Apartment,2,844,29.54,3499.68,2017,Semi Furnished,18,29,7,0,2,1,0,Security Guard,Gym,South,Individual,Under Construction
95,Gujarat,Ahmedabad,Satellite,Apartment,3,1022,50.28,4919.73,1990,Semi Furnished,21,36,34,1,5,9,2,Security Guard,"Garden, Gym, Playground",East,Individual,Available
96,Uttar Pradesh,Noida,Sector 18,Apartment,2,599,25.62,4276.8,2011,Unfurnished,11,26,13,8,2,9,1,Gated Community,"Library, Garden, Clubhouse",South-East,Agent,Available
97,Maharashtra,Nagpur,Sitabuldi,Apartment,4,1655,66.24,4002.32,2006,Semi Furnished,13,21,18,4,7,4,3,Gated Community,"Playground, Swimming Pool, Garden, Library, Gym, Clubhouse",North,Individual,Available
98,Maharashtra,Mumbai,Dadar,Apartment,3,1301,219.84,16897.56,2017,Fully Furnished,29,44,7,1,1,2,0,None,Swimming Pool,East,Builder,Under Construction
99,Maharashtra,Nagpur,Manish Nagar,House,3,1318,51.92,3938.94,2019,Semi Furnished,4,15,5,4,5,8,2,Gated Community,"Clubhouse, Gym, Playground",North,Builder,Available
100,Karnataka,Mysore,Saraswathipuram,Apartment,4,1766,89.82,5086.24,1997,Unfurnished,25,29,27,0,7,7,3,CCTV,None,South-West,Agent,Available
101,Punjab,Chandigarh,Sector 17,Apartment,2,773,44.64,5775.31,2016,Semi Furnished,24,32,8,9,4,1,2,Security Guard,None,West,Builder,Under Construction
102,Uttar Pradesh,Lucknow,Hazratganj,House,1,441,15.94,3613.58,2014,Fully Furnished,9,10,10,4,0,6,2,CCTV,"Swimming Pool, Playground, Clubhouse",South-West,Agent,Under Construction
103,Maharashtra,Nagpur,Dharampeth,House,4,1542,74.92,4858.88,2002,Fully Furnished,19,19,22,6,0,5,3,CCTV,"Gym, Library",West,Individual,Available
104,Maharashtra,Mumbai,Powai,Penthouse,5,2193,252.88,11531.23,2023,Unfurnished,20,37,1,7,5,2,0,CCTV,"Swimming Pool, Library, Gym, Playground",South,Agent,Under Construction
105,Karnataka,Mysore,Nazarbad,Villa,3,1063,37.7,3546.42,1996,Unfurnished,11,29,28,2,2,5,1,Security Guard,"Library, Gym, Playground, Swimming Pool, Garden",,Individual,Available
106,Uttar Pradesh,Lucknow,Mahanagar,Apartment,1,475,20.51,4318.36,2011,Semi Furnished,,23,13,3,7,6,0,Gated Community,Playground,East,Individual,Available
107,Haryana,Gurgaon,Golf Course Road,Apartment,3,1040,117.69,11316.34,2022,Unfurnished,23,39,2,1,,6,0,CCTV,Clubhouse,South-East,Builder,Available
108,Telangana,Hyderabad,Jubilee Hills,Apartment,1,416,21.57,5185.64,2020,Semi Furnished,21,27,4,0,3,2,3,CCTV,"Library, Garden",North-West,Agent,Under Construction
109,Punjab,Chandigarh,Sector 22,Apartment,3,959,59.03,6154.99,2022,Semi Furnished,0,15,2,9,0,1,2,CCTV,Gym,South-West,Agent,Available
110,Punjab,Chandigarh,Mohali,Apartment,2,833,38.67,4641.8,2011,Semi Furnished,22,23,13,7,0,4,1,None,"Swimming Pool, Garden, Library, Clubhouse, Playground, Gym",,Individual,Available
111,Tamil Nadu,Chennai,Anna Nagar,Penthouse,4,1896,139.99,7383.6,2016,Unfurnished,17,31,8,6,4,4,0,None,"Library, Swimming Pool, Garden, Clubhouse, Playground, Gym",North,Builder,Available
112,Rajasthan,Jaipur,Malviya Nagar,Apartment,2,716,23.69,3308.92,2016,Semi Furnished,8,27,8,7,3,9,1,Security Guard,"Playground, Garden, Gym, Clubhouse, Swimming Pool",West,Builder,Available
113,Haryana,Gurgaon,Sector 49,Apartment,4,1563,171.52,10974.06,2010,Fully Furnished,11,29,14,4,1,1,0,None,"Playground, Swimming Pool, Garden, Library, Clubhouse, Gym",South-West,Agent,Available
114,Madhya Pradesh,Bhopal,MP Nagar,Apartment,2,930,28.73,3089.33,1999,Unfurnished,3,8,25,4,7,1,1,CCTV,"Gym, Clubhouse, Playground, Garden, Library, Swimming Pool",South,Individual,Available
115,Karnataka,Bangalore,Whitefield,House,2,806,68.55,8505.25,2017,Fully Furnished,9,11,7,0,1,8,2,CCTV,"Garden, Gym, Clubhouse, Library",North-East,Agent,Available
116,Karnataka,Mysore,Saraswathipuram,Apartment,4,1783,121.35,6805.69,2022,Semi Furnished,7,16,2,8,4,5,2,Security Guard,"Swimming Pool, Clubhouse, Playground, Garden",West,Builder,Sold
117,Haryana,Gurgaon,DLF Phase,Apartment,2,859,78.42,9129.32,1997,Semi Furnished,3,14,27,2,1,9,1,Security Guard,None,West,Builder,Under Construction
118,Rajasthan,Jaipur,Vaishali Nagar,Apartment,3,1331,37.62,2826.36,2022,Semi Furnished,22,30,2,0,0,6,3,CCTV,Swimming Pool,South,Builder,Available
119,Punjab,Chandigarh,Panchkula,Apartment,2,503,27.11,5390.14,2008,Semi Furnished,26,39,16,3,2,3,2,Gated Community,"Garden, Gym, Library, Playground, Clubhouse, Swimming Pool",East,Builder,Available
120,West Bengal,Kolkata,New Town,Apartment,3,1213,63.81,5260.75,2019,Semi Furnished,25,27,5,3,3,1,0,None,Playground,North-East,Builder,Under Construction
121,Karnataka,Bangalore,Koramangala,Apartment,2,633,27.13,4286.31,2003,Semi Furnished,24,27,21,7,1,6,0,Security Guard,None,East,Agent,Available
122,Rajasthan,Jaipur,Jagatpura,Apartment,2,740,25.51,3447.07,2003,Fully Furnished,28,29,21,9,1,3,1,CCTV,"Playground, Clubhouse, Gym, Garden, Swimming Pool",South-East,Builder,Under Construction
123,Haryana,Gurgaon,Sector 49,House,3,1264,137.82,10903.84,1996,Semi Furnished,5,5,28,9,1,4,1,Gated Community,None,North-East,Builder,Sold
124,Maharashtra,Pune,Baner,Villa,2,765,58.98,7709.91,2023,Unfurnished,11,28,1,4,1,3,2,CCTV,Garden,South,Individual,Under Construction
125,Tamil Nadu,Chennai,OMR,House,1,300,19.24,6414.78,2021,Fully Furnished,,29,3,9,2,7,1,Gated Community,Swimming Pool,East,Builder,Sold
126,Rajasthan,Jaipur,Jagatpura,Apartment,3,1388,76.85,5536.4,2022,Unfurnished,0,3,2,4,2,9,3,CCTV,"Library, Garden, Swimming Pool, Playground, Gym",North-West,Agent,Under Construction
127,Delhi,Delhi,Vasant Kunj,Apartment,3,1351,116.49,8622.39,2003,Fully Furnished,14,17,21,0,5,5,2,Gated Community,Playground,East,Agent,Under Construction
128,Gujarat,Ahmedabad,Prahlad Nagar,Apartment,1,300,10.35,3449.6,2014,Unfurnished,7,26,10,3,6,6,3,Security Guard,Clubhouse,North,Individual,Available
129,Gujarat,Ahmedabad,Satellite,Apartment,3,1314,45.54,3465.87,2017,Fully Furnished,12,16,7,7,4,5,3,Gated Community,"Swimming Pool, Clubhouse, Garden",West,Builder,Available
130,West Bengal,Kolkata,Alipore,Apartment,4,1625,92.56,5696.05,2019,Fully Furnished,17,25,5,7,6,3,0,CCTV,"Garden, Playground, Gym, Swimming Pool",North-West,Builder,Under Construction
131,Haryana,Gurgaon,Sector 49,Apartment,1,435,32.49,7468.77,2020,Unfurnished,22,22,4,3,,3,0,CCTV,None,West,Builder,Sold
132,Maharashtra,Mumbai,Bandra,House,3,1433,194.27,13556.71,2013,Fully Furnished,21,27,11,2,7,4,1,Gated Community,"Gym, Clubhouse, Playground, Library, Garden",South-West,Builder,Sold
133,Maharashtra,Mumbai,Juhu,House,3,1223,137.96,11280.8,1993,Unfurnished,14,27,31,3,0,5,3,None,"Library, Gym, Swimming Pool",South-West,Builder,Available
134,Rajasthan,Jaipur,Mansarovar,House,1,507,17.56,3462.57,2003,Unfurnished,24,30,21,5,1,7,3,Security Guard,"Playground, Library, Garden, Swimming Pool, Clubhouse",South,Individual,Available
135,Telangana,Hyderabad,Gachibowli,Apartment,1,432,20.52,4751.05,1998,Semi Furnished,,36,26,2,4,9,0,Security Guard,"Playground, Swimming Pool",,Builder,Available
136,Maharashtra,Nagpur,Sadar,Villa,2,832,27.5,3305.71,1995,Fully Furnished,17,35,29,2,0,5,2,CCTV,"Gym, Swimming Pool",South,Individual,Under Construction
137,Haryana,Gurgaon,Sector 56,Apartment,3,1061,134.29,12656.93,2013,Unfurnished,28,32,11,8,2,2,1,Security Guard,None,South-East,Agent,Available
138,Delhi,Delhi,Rohini,Villa,2,1168,98.83,8461.52,2015,Fully Furnished,10,17,9,2,1,9,0,CCTV,"Garden, Swimming Pool, Gym, Clubhouse",South,Individual,Available
139,Uttar Pradesh,Noida,Sector 18,Apartment,4,1138,69.28,6088.21,2023,Unfurnished,25,37,1,0,6,5,3,CCTV,None,South,Individual,Under Construction
140,Telangana,Hyderabad,Jubilee Hills,Apartment,3,1091,80.21,7352.26,1990,Unfurnished,17,21,34,2,2,6,0,Security Guard,"Library, Gym, Playground, Clubhouse, Garden, Swimming Pool",North-West,Builder,Available
141,Karnataka,Mysore,Kuvempunagar,House,2,726,27.82,3831.53,2012,Semi Furnished,8,22,12,7,5,9,0,CCTV,"Library, Gym, Garden, Playground, Swimming Pool, Clubhouse",North-East,Builder,Available
142,Maharashtra,Mumbai,Andheri,Villa,3,1336,233.09,17446.72,2006,Fully Furnished,21,29,18,8,1,4,0,Gated Community,"Swimming Pool, Clubhouse, Playground, Gym",North-East,Builder,Available
