State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Infra_Score,Floor_Ratio,Amenity_Score,BHK_Category,Is_Ready,School_Density,Hospital_Density,Security_Score,Luxury_Score,Growth_Rate,Future_Price_5Y,ROI,Good_Investment
Punjab,Chandigarh,Sector 17,Villa,5,2072,140.08,6760.617760617762,2014,Semi Furnished,28.0,43,10,0.0,6.0,3,2,CCTV,Playground,North,Individual,Under Construction,9.0,0.6511627906976745,1,4+BHK,0,0.0,0.857142734693895,2,5,0.07,196.46944643645608,40.25517307000005,0
Haryana,Gurgaon,DLF Phase,Apartment,5,2040,222.49,10906.372549019608,2017,Semi Furnished,18.0,28,7,8.0,3.0,7,1,Gated Community,"Gym, Clubhouse, Garden, Swimming Pool",West,Individual,Available,18.0,0.6428571428571429,4,4+BHK,1,0.8888887901234679,0.4285713673469475,3,8,0.1,358.3223699000001,61.05100000000006,1
Gujarat,Ahmedabad,Bopal,Studio,3,1534,65.46,4267.275097783572,2016,Semi Furnished,16.0,33,8,2.0,6.0,6,2,Gated Community,"Library, Garden, Playground, Swimming Pool",West,Builder,Available,14.0,0.48484848484848486,4,3BHK,1,0.22222219753086697,0.857142734693895,3,9,0.08,96.18221590732803,46.93280768000006,1
Uttar Pradesh,Noida,Greater Noida West,Villa,4,1675,93.07,5556.417910447762,2017,Semi Furnished,13.0,19,7,7.0,7.0,5,1,Security Guard,Garden,West,Individual,Available,19.0,0.6842105263157895,1,4+BHK,1,0.7777776913580343,0.9999998571428775,1,3,0.08,136.75036410777605,46.93280768000007,1
Punjab,Chandigarh,Sector 17,Apartment,2,815,34.5,4233.128834355828,2023,Unfurnished,22.0,35,1,1.0,7.0,5,3,Gated Community,Library,West,Individual,Available,13.0,0.6285714285714286,1,2BHK,1,0.11111109876543349,0.9999998571428775,3,7,0.07,48.38803470915001,40.25517307000004,1
Maharashtra,Nagpur,Dharampeth,Apartment,4,1764,92.1,5221.088435374149,2018,Unfurnished,18.0,18,6,0.0,5.0,8,2,Gated Community,"Swimming Pool, Playground, Garden",North-East,Builder,Available,13.0,1.0,3,4+BHK,1,0.0,0.7142856122449125,3,8,0.07,129.17501439747002,40.25517307000003,1
Uttar Pradesh,Lucknow,Mahanagar,Apartment,4,1841,79.76,4332.428028245519,1997,Unfurnished,6.0,19,27,0.0,6.0,1,0,CCTV,Clubhouse,South-West,Agent,Sold,7.0,0.3157894736842105,1,4+BHK,0,0.0,0.857142734693895,2,3,0.07,111.86752604063204,40.25517307000005,0
Madhya Pradesh,Bhopal,Misrod,Apartment,4,1910,62.96,3296.3350785340313,2002,Semi Furnished,13.0,13,22,7.0,3.0,4,1,Security Guard,"Clubhouse, Playground, Swimming Pool, Library, Garden, Gym",South-West,Builder,Available,14.0,1.0,6,4+BHK,1,0.7777776913580343,0.4285713673469475,1,8,0.07,88.30465696487202,40.25517307000003,1
Karnataka,Bangalore,HSR Layout,Apartment,4,1510,146.26,9686.092715231787,1992,Unfurnished,27.0,40,32,8.0,4.0,5,1,CCTV,"Garden, Swimming Pool, Playground, Clubhouse, Library",North,Builder,Sold,17.0,0.675,5,4+BHK,0,0.8888887901234679,0.57142848979593,2,8,0.1,235.55319260000007,61.05100000000006,1
Madhya Pradesh,Indore,Vijay Nagar,Apartment,2,864,26.56,3074.074074074074,2003,Semi Furnished,21.0,34,21,2.0,4.0,9,2,Gated Community,Clubhouse,North,Agent,Under Construction,15.0,0.6176470588235294,1,2BHK,0,0.22222219753086697,0.57142848979593,3,6,0.07,37.25177396739201,40.25517307000005,0
Uttar Pradesh,Noida,Greater Noida West,Apartment,2,706,45.97,6511.3314447592065,2021,Unfurnished,26.0,41,3,6.0,7.0,1,2,CCTV,Clubhouse,North-West,Builder,Under Construction,14.0,0.6341463414634146,1,2BHK,0,0.6666665925926009,0.9999998571428775,2,5,0.08,67.54501169049603,46.93280768000006,0
Karnataka,Bangalore,Whitefield,Apartment,2,1148,73.1,6367.59581881533,2012,Semi Furnished,11.0,18,12,1.0,2.0,9,3,CCTV,"Gym, Library",South-West,Agent,Available,12.0,0.6111111111111112,2,2BHK,1,0.11111109876543349,0.285714244897965,2,7,0.1,117.72828100000004,61.051000000000066,0
Maharashtra,Pune,Wakad,House,3,1207,86.28,7148.301574150787,2012,Fully Furnished,11.0,12,12,7.0,3.0,6,0,CCTV,"Garden, Gym",West,Individual,Available,16.0,0.9166666666666666,2,3BHK,1,0.7777776913580343,0.4285713673469475,2,4,0.08,126.77362646630405,46.93280768000006,1
Delhi,Delhi,Saket,Apartment,2,943,70.37,7462.354188759279,2002,Semi Furnished,24.0,28,22,2.0,2.0,3,3,CCTV,"Library, Gym, Playground, Garden",South-West,Individual,Available,7.0,0.8571428571428571,4,2BHK,1,0.22222219753086697,0.285714244897965,2,9,0.1,113.33158870000004,61.051000000000045,0
Tamil Nadu,Chennai,OMR,Villa,3,1175,92.32,7857.021276595745,2010,Semi Furnished,25.0,30,14,9.0,7.0,3,1,Security Guard,"Gym, Clubhouse",North-East,Individual,Available,19.0,0.8333333333333334,2,3BHK,1,0.9999998888889013,0.9999998571428775,1,4,0.08,135.64836805017603,46.932807680000046,1
Karnataka,Bangalore,Indiranagar,Apartment,3,1274,128.85,10113.8147566719,2020,Semi Furnished,0.0,1,4,9.0,1.0,4,0,CCTV,"Swimming Pool, Playground, Clubhouse",West,Builder,Under Construction,14.0,0.0,3,3BHK,0,0.9999998888889013,0.1428571224489825,2,5,0.1,207.51421350000007,61.05100000000006,1
Madhya Pradesh,Indore,Rau,Apartment,3,929,40.49,4358.449946178686,1996,Semi Furnished,8.0,11,28,4.0,6.0,5,2,CCTV,"Playground, Clubhouse, Library",North-East,Individual,Available,15.0,0.7272727272727273,3,3BHK,1,0.44444439506173394,0.857142734693895,2,7,0.07,56.78931957604302,40.25517307000005,1
Gujarat,Ahmedabad,Motera,Apartment,4,1756,88.89,5062.072892938497,2008,Fully Furnished,13.0,19,16,6.0,3.0,9,3,CCTV,"Clubhouse, Gym, Library",South-East,Builder,Under Construction,18.0,0.6842105263157895,3,4+BHK,0,0.6666665925926009,0.4285713673469475,2,8,0.08,130.60857274675206,46.93280768000007,1
Maharashtra,Pune,Wakad,House,3,1395,88.72,6359.856630824373,2011,Unfurnished,17.0,24,13,8.0,5.0,6,3,Gated Community,"Clubhouse, Playground",North-East,Builder,Available,19.0,0.7083333333333334,2,3BHK,1,0.8888887901234679,0.7142856122449125,3,8,0.08,130.35878697369606,46.93280768000007,1
Tamil Nadu,Chennai,Adyar,House,3,1111,71.61,6445.544554455446,2013,Semi Furnished,17.0,21,11,0.0,5.0,5,1,Security Guard,Clubhouse,North,Individual,Under Construction,10.0,0.8095238095238095,1,3BHK,0,0.0,0.7142856122449125,1,3,0.08,105.21858357964804,46.93280768000005,0
Karnataka,Bangalore,HSR Layout,Apartment,3,928,65.08,7012.931034482759,2013,Fully Furnished,17.0,22,11,4.0,6.0,6,3,CCTV,"Garden, Library, Playground, Clubhouse, Gym, Swimming Pool",South,Builder,Under Construction,16.0,0.7727272727272727,6,3BHK,0,0.44444439506173394,0.857142734693895,2,11,0.1,104.81199080000003,61.05100000000006,1
Uttar Pradesh,Lucknow,Gomti Nagar,Villa,4,1822,84.34,4628.979143798024,2010,Fully Furnished,8.0,22,14,0.0,7.0,6,0,CCTV,"Swimming Pool, Clubhouse, Gym",North,Builder,Available,13.0,0.36363636363636365,3,4+BHK,1,0.0,0.9999998571428775,2,5,0.07,118.29121296723804,40.25517307000004,1
Kerala,Kochi,Edapally,Apartment,2,1003,53.22,5306.081754735793,2002,Unfurnished,10.0,21,22,1.0,1.0,9,2,Security Guard,Garden,South-West,Agent,Available,11.0,0.47619047619047616,1,2BHK,1,0.11111109876543349,0.1428571224489825,1,4,0.07,74.64380310785401,40.255173070000026,0
Punjab,Chandigarh,Mohali,Penthouse,2,918,48.59,5293.028322440087,1995,Semi Furnished,10.0,17,29,9.0,5.0,7,2,CCTV,"Gym, Garden, Clubhouse, Library, Playground",South-West,Individual,Available,21.0,0.5882352941176471,5,2BHK,1,0.9999998888889013,0.7142856122449125,2,9,0.07,68.14998859471302,40.25517307000004,0
Uttar Pradesh,Noida,Sector 78,Studio,4,1572,102.97,6550.254452926209,2017,Semi Furnished,6.0,13,7,3.0,0.0,7,2,Gated Community,"Library, Clubhouse, Playground",South-East,Individual,Available,10.0,0.46153846153846156,3,4+BHK,1,0.33333329629630043,0.0,3,8,0.08,151.29671206809604,46.932807680000046,0
Uttar Pradesh,Lucknow,Hazratganj,Villa,3,1157,55.42,4789.974070872947,2021,Fully Furnished,0.0,15,3,9.0,4.0,4,3,Gated Community,"Garden, Swimming Pool, Playground, Clubhouse, Gym, Library",North-West,Builder,Available,17.0,0.0,6,3BHK,1,0.9999998888889013,0.57142848979593,3,12,0.07,77.72941691539403,40.25517307000005,1
Uttar Pradesh,Noida,Sector 18,Villa,3,1400,81.69,5835.0,2002,Semi Furnished,9.0,23,22,2.0,4.0,5,0,Gated Community,Clubhouse,North,Agent,Sold,11.0,0.391304347826087,1,3BHK,0,0.22222219753086697,0.57142848979593,3,4,0.08,120.02941059379204,46.932807680000046,0
Kerala,Kochi,Edapally,House,2,751,54.74,7288.948069241012,2023,Unfurnished,15.0,18,1,9.0,2.0,7,1,Security Guard,"Gym, Swimming Pool, Garden, Playground",South-West,Agent,Available,18.0,0.8333333333333334,4,2BHK,1,0.9999998888889013,0.285714244897965,1,6,0.07,76.77568173851802,40.255173070000026,0
Rajasthan,Jaipur,Vaishali Nagar,House,2,823,38.06,4624.544349939247,2021,Fully Furnished,6.0,8,3,4.0,4.0,8,0,Security Guard,"Library, Swimming Pool, Garden, Clubhouse, Gym",East,Individual,Sold,16.0,0.75,5,2BHK,0,0.44444439506173394,0.57142848979593,1,6,0.07,53.381118870442016,40.25517307000003,0
Madhya Pradesh,Indore,AB Road,Villa,3,1199,53.35,4449.54128440367,2003,Semi Furnished,10.0,17,21,5.0,7.0,6,2,Security Guard,"Library, Playground, Gym, Garden, Swimming Pool",North-East,Individual,Under Construction,18.0,0.5882352941176471,5,3BHK,0,0.5555554938271674,0.9999998571428775,1,8,0.07,74.82613483284503,40.25517307000005,1
Punjab,Chandigarh,Sector 17,Studio,2,849,39.27,4625.441696113075,2021,Semi Furnished,25.0,40,3,0.0,1.0,8,2,Gated Community,"Clubhouse, Library, Swimming Pool, Gym, Garden, Playground",South,Agent,Under Construction,9.0,0.625,6,2BHK,0,0.0,0.1428571224489825,3,11,0.07,55.07820646458902,40.25517307000005,0
Rajasthan,Jaipur,Jagatpura,Villa,2,783,24.58,3139.208173690932,1994,Unfurnished,0.0,17,30,8.0,4.0,9,2,CCTV,"Clubhouse, Playground, Library, Gym, Garden, Swimming Pool",North-East,Individual,Available,21.0,0.0,6,2BHK,1,0.8888887901234679,0.57142848979593,2,10,0.07,34.474721540606005,40.255173070000026,1
Telangana,Hyderabad,Banjara Hills,Villa,2,801,48.85,6098.626716604244,1993,Fully Furnished,10.0,23,31,9.0,7.0,1,0,CCTV,"Clubhouse, Swimming Pool, Library, Gym",North,Agent,Sold,17.0,0.43478260869565216,4,2BHK,0,0.9999998888889013,0.9999998571428775,2,6,0.08,71.77667655168003,46.932807680000046,0
Punjab,Chandigarh,Sector 22,House,3,1468,66.07,4500.681198910082,2003,Fully Furnished,25.0,42,21,1.0,3.0,4,2,CCTV,"Clubhouse, Swimming Pool",North-West,Agent,Available,8.0,0.5952380952380952,2,3BHK,1,0.11111109876543349,0.4285713673469475,2,6,0.07,92.66659284734902,40.25517307000005,1
Rajasthan,Jaipur,Jagatpura,Villa,3,1278,37.05,2899.0610328638495,2007,Fully Furnished,6.0,17,17,7.0,0.0,9,1,Security Guard,Clubhouse,South,Builder,Available,16.0,0.35294117647058826,1,3BHK,1,0.7777776913580343,0.0,1,3,0.07,51.96454162243501,40.255173070000026,1
Haryana,Gurgaon,DLF Phase,Apartment,3,1323,90.24,6820.861678004535,2008,Fully Furnished,7.0,25,16,0.0,7.0,4,1,Security Guard,"Garden, Swimming Pool",West,Builder,Available,11.0,0.28,2,3BHK,1,0.0,0.9999998571428775,1,4,0.1,145.33242240000004,61.05100000000006,1
Telangana,Hyderabad,Kukatpally,Apartment,4,1432,115.16,8041.899441340782,1991,Fully Furnished,28.0,44,33,1.0,4.0,9,2,Security Guard,"Clubhouse, Playground, Library, Gym, Garden, Swimming Pool",West,Builder,Under Construction,14.0,0.6363636363636364,6,4+BHK,0,0.11111109876543349,0.57142848979593,1,9,0.08,169.20782132428806,46.93280768000006,1
Gujarat,Ahmedabad,Prahlad Nagar,Apartment,3,1245,42.2,3389.5582329317267,1992,Semi Furnished,2.0,19,32,8.0,2.0,2,2,CCTV,"Gym, Library, Swimming Pool, Clubhouse",North-East,Agent,Available,12.0,0.10526315789473684,4,3BHK,1,0.8888887901234679,0.285714244897965,2,8,0.08,62.00564484096003,46.93280768000006,1
Uttar Pradesh,Noida,Sector 62,Apartment,1,307,14.16,4612.377850162867,2018,Fully Furnished,7.0,18,6,2.0,3.0,8,0,Security Guard,"Playground, Gym, Garden",North-West,Individual,Under Construction,13.0,0.3888888888888889,3,Studio/1BHK,0,0.22222219753086697,0.4285713673469475,1,4,0.08,20.80568556748801,46.93280768000006,1
West Bengal,Kolkata,New Town,Penthouse,2,785,43.41,5529.9363057324845,2012,Fully Furnished,2.0,9,12,5.0,4.0,8,2,Security Guard,"Swimming Pool, Garden",North-East,Individual,Under Construction,17.0,0.2222222222222222,2,2BHK,0,0.5555554938271674,0.57142848979593,1,5,0.07,60.88477062968701,40.25517307000004,0
Madhya Pradesh,Bhopal,Arera Colony,Villa,3,1279,40.37,3156.372165754495,1990,Unfurnished,19.0,33,34,8.0,3.0,5,0,Gated Community,Clubhouse,North-West,Individual,Sold,16.0,0.5757575757575758,1,3BHK,0,0.8888887901234679,0.4285713673469475,3,4,0.07,56.62101336835901,40.255173070000026,1
Uttar Pradesh,Noida,Sector 137,House,2,812,51.25,6311.5763546798025,1995,Semi Furnished,13.0,15,29,6.0,1.0,6,0,CCTV,"Swimming Pool, Library",North-West,Individual,Available,13.0,0.8666666666666667,2,2BHK,1,0.6666665925926009,0.1428571224489825,2,4,0.08,75.30306393600003,46.93280768000005,1
Maharashtra,Nagpur,Manish Nagar,Apartment,3,1362,61.7,4530.102790014685,2006,Fully Furnished,18.0,25,18,9.0,5.0,5,0,Gated Community,Clubhouse,South,Agent,Sold,19.0,0.72,1,3BHK,0,0.9999998888889013,0.7142856122449125,3,4,0.07,86.53744178419002,40.255173070000026,1
Maharashtra,Nagpur,Dharampeth,House,3,1087,46.71,4297.148114075437,2008,Fully Furnished,26.0,35,16,5.0,4.0,8,2,CCTV,"Garden, Swimming Pool, Playground, Clubhouse, Library, Gym",East,Agent,Available,17.0,0.7428571428571429,6,3BHK,1,0.5555554938271674,0.57142848979593,2,10,0.07,65.51319134099703,40.25517307000005,1
Karnataka,Mysore,Kuvempunagar,Villa,5,1885,103.27,5478.514588859416,2004,Unfurnished,26.0,34,20,5.0,4.0,6,2,Gated Community,"Library, Garden",North-East,Builder,Sold,15.0,0.7647058823529411,2,4+BHK,0,0.5555554938271674,0.57142848979593,3,7,0.07,144.84151722938904,40.25517307000005,0
Tamil Nadu,Chennai,Porur,Apartment,2,738,24.23,3283.1978319783198,2012,Unfurnished,9.0,21,12,9.0,1.0,7,0,Security Guard,"Swimming Pool, Clubhouse, Playground, Library, Gym, Garden",East,Builder,Available,17.0,0.42857142857142855,6,2BHK,1,0.9999998888889013,0.1428571224489825,1,7,0.08,35.601819300864015,46.93280768000006,1
Haryana,Gurgaon,Sector 56,Apartment,2,820,72.32,8819.51219512195,2008,Fully Furnished,11.0,24,16,0.0,1.0,2,2,Gated Community,"Gym, Clubhouse, Playground",North-West,Individual,Available,3.0,0.4583333333333333,3,2BHK,1,0.0,0.1428571224489825,3,8,0.1,116.47208320000003,61.05100000000006,0
